Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IAUX,i-80 Gold Corp. Common Shares,$0.8219,0.0213,2.661%,670709268.00,Canada,2022,5777914,Basic Materials,Precious Metals
IBO,Impact BioMedical Inc. Common Stock,$0.5998,0.0201,3.467%,7308810.00,,2024,101427,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$26.61,-1.53,-5.437%,385988481.00,United States,2022,589805,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$8.64,-0.28,-3.139%,1147540893.00,Canada,2022,881592,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.445,0.014,3.248%,40410055.00,United States,,1017052,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.86,-0.09,-4.615%,16300082.00,United States,1999,857,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$89.22,-1.56,-1.718%,45416991599.00,Canada,1929,588131,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.93,-0.12,-3.934%,40756411.00,,2019,467804,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$10.58,-0.20,-1.855%,216106699.00,United States,,339393,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$11.15,0.0131,0.118%,49942221.00,,2022,741,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$7.10,0.10,1.429%,88591500.00,United States,1997,83315,Industrials,Electrical Products
INUV,Inuvo Inc.,$3.37,-0.02,-0.59%,49188072.00,United States,,62216,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$18.20,0.00,0.00%,74004440.00,United States,1987,451,Real Estate,Real Estate Investment Trusts
ISOU,IsoEnergy Ltd. Common Shares,$7.97,-0.11,-1.361%,383178289.00,,2025,40337,,
ITP,IT Tech Packaging Inc. Common Stock,$0.20,-0.001,-0.498%,3393084.00,China,,108682,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$2.46,0.17,7.424%,415744403.00,,,4316846,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.1945,-0.0017,-0.866%,21280876.00,United States,1968,406976,Consumer Discretionary,Diversified Commercial Services
KAPA,Kairos Pharma Ltd. Common Stock,$1.41,0.06,4.444%,29248709.00,,2024,10318057,Health Care,Biotechnology: Pharmaceutical Preparations
KULR,KULR Technology Group Inc. Common Stock,$4.57,-0.13,-2.766%,187866042.00,United States,,1379769,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.22,0.05,4.274%,278594674.00,United States,,2565302,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.7398,0.0098,0.091%,0.00,,2024,432,,
LEU,Centrus Energy Corp. Class A Common Stock,$203.89,2.16,1.071%,3712396905.00,United States,2014,945460,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGCY,Legacy Education Inc. Common Stock,$12.00,-0.06,-0.498%,148566684.00,,2024,17988,Real Estate,Other Consumer Services
LGL,LGL Group Inc. (The) Common Stock,$6.67,0.18,2.773%,35979668.00,United States,1946,2803,Technology,Industrial Machinery/Components
LGPS,LogProstyle Inc. Common Shares,$1.10,0.04,3.774%,26017321.00,,2025,49668,Consumer Discretionary,Homebuilding
LODE,Comstock Inc. Common Stock,$2.39,-0.04,-1.646%,85874882.00,United States,,1183442,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$6.41,-0.08,-1.233%,202995732.00,,2024,8461,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$5.70,-0.09,-1.554%,60787781.00,,2020,35503,Consumer Staples,Packaged Foods
LUD,Luda Technology Group Limited Ordinary Shares,$9.87,3.80,62.603%,223950300.00,,2025,1052923,,
LXFR,Luxfer Holdings PLC Ordinary Shares,$13.21,-0.21,-1.565%,353553457.00,United Kingdom,2012,116714,Basic Materials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$24.76,0.24,0.979%,2566703135.00,Canada,,1191389,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.50,-0.04,-2.597%,49489830.00,,2022,163955,Health Care,Biotechnology: Pharmaceutical Preparations
MCRP,Micropolis Holding Company Ordinary Shares,$1.60,-0.09,-5.325%,55821515.00,,2025,74421,,
MGLD,The Marygold Companies Inc. Common Stock,$0.919,0.00,0.00%,39366974.00,,2022,212,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$7.99,-0.10,-1.236%,94155622.00,United States,,9209,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$3.2599,0.1599,5.158%,16511882.00,,2023,135724,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.748,0.0041,0.551%,7430392.00,United States,2021,42819,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.5985,0.0084,1.423%,47017649.00,United States,2015,19868,Health Care,Industrial Specialties
MMA,Mixed Martial Arts Group Limited Ordinary Shares,$0.8553,-0.0397,-4.436%,8794781.00,,2024,114374,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$44.52,-0.46,-1.023%,130172251.00,United States,2022,38072,Technology,Industrial Machinery/Components
MPU,Mega Matrix Inc. Class A Ordinary Shares,$2.03,-0.38,-15.768%,78260205.00,United States,1998,1717638,Consumer Discretionary,Diversified Commercial Services
